ID;character_name;build_name;artifact_set_1_label;artifact_set_1;artifact_set_2;artifact_set_3_label;artifact_set_3;artifact_set_4;artifact_set_5_label;artifact_set_5;artifact_set_6;artifact_set_7_label;artifact_set_7;artifact_set_8;artifact_set_9_label;artifact_set_9;artifact_set_10;sands_1;sands_2;sands_3;goblet_1;goblet_2;circlet_1;circlet_2;circlet_3;substats_1;substats_2;substats_3;substats_4;substats_5;flatstats_1;flatstats_2;er_min;er_max;note
42;Diluc;Pyro Main DPS;Recommended Set;Crimson Witch of Flames;;Second Choice;Gilded Dreams;;With Furina;Marechaussee Hunter;;;;;;;;ATK%;Elemental Mastery;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;ATK%;Energy Recharge;;Flat ATK;;100;120;Witch is better than gilded but with good substats gilded can also be good and is easier to farm. Sets assume you play vape/melt
43;Diona;Healer/Shielder;;Noblesse Oblige;;;Tenacity of the Millelith;Ocean-Hued Clam;;;;;;;;;;HP%;Energy Recharge;;HP%;;HP%;Healing Bonus;CRIT Rate (Favonius);Energy Recharge;HP%;Flat HP;CRIT Rate (Favonius);;;;100;200;
44;Dori;Support/Healer;For ATK Buffs;Noblesse Oblige;;For DMG Buffs;Scroll of the Hero of Cinder City;;;;;;;;;;;Energy Recharge;HP%;;HP%;;Healing Bonus;;;Energy Recharge;CRIT Rate (Favonius);HP%;Flat HP;;;;180;260;
45;Dori;Hyperbloom Trigger;Recommended Set;Flower of Paradise Lost;;Alternative Set;Gilded Dreams;;;;;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;CRIT Rate (Favonius);HP%;;Flat HP;;180;260;When playing Dori for Hyperbloom she will sometimes also trigger Aggravate/Electro-Charged damage on the side. Gilded dreams buffs all of these maximizing her damage output. FoPL is an alternative but will only focus on the hyperbloom damage.
46;Dori;C6 Aggravate DPS;Recommended Set;Thundering Fury;;Alternative Set;Gilded Dreams;;With Furina;Marechaussee Hunter;;;;;;;;Elemental Mastery;Energy Recharge;;Electro DMG Bonus;Elemental Mastery;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;ATK%;Energy Recharge;;Flat ATK;;100;170;ER depends on playstyle, either very low or relatively high
47;Electro Traveler;Battery;;Emblem of Severed Fate;;;Noblesse Oblige;;;;;;;;;;;Energy Recharge;;;Electro DMG Bonus;Elemental Mastery;CRIT Rate/DMG;Elemental Mastery;;Energy Recharge;CRIT Rate/DMG;Elemental Mastery;ATK%;;Flat ATK;;130;300;Battery = Energy Generator for others (in this case with skill), Emblem does this best while noblesse (worse) is for buffing with burst
48;Emilie;Burning Sub DPS;Recommended Set;Unfinished Reverie;;Second Choice;Deepwood Memories;;;;;;;;;;;ATK%;;;Dendro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;n/a;n/a;Emilie can wear Deepwood if she is paired with another dendro and no one else can wear it
49;Eula;Physical Main DPS;Recommended Set;Pale Flame;;Alternative Set;Pale Flame;Bloodstained Chivalry;With Furina;Marechaussee Hunter;;Furina's Second Choice;Vermillion Hereafter;;;;;ATK%;;;Physical DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;130;150;you wanna play her with an electro for superconduct .2pc combinations can outperform when very good substats, instead of another phys. DMG it is also valid to choose ATK or ER
50;Faruzan;Buffer Support;;Noblesse Oblige;;;;;;;;;;;;;;Energy Recharge;ATK%;;Anemo DMG Bonus;;CRIT Rate (Favonius);;;Energy Recharge;CRIT Rate (Favonius);;;;;;220;260;prioritize ER over main stats
51;Faruzan;Swirl Support;;Viridescent Venerer;;;;;;;;;;;;;;Energy Recharge;ATK%;;Anemo DMG Bonus;;CRIT Rate (Favonius);;;Energy Recharge;CRIT Rate (Favonius);Elemental Mastery;;;;;220;260;prioritize ER over main stats
52;Faruzan;C6 Support;;Tenacity of the Millelith;;;;;;;;;;;;;;Energy Recharge;ATK%;;Anemo DMG Bonus;;CRIT Rate;CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;;;;;175;200;
53;Fischl;Electro Sub DPS;;Golden Troupe;;;;;;;;;;;;;;ATK%;EM (Quicken);;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;ATK%;EM (Quicken);;Flat ATK;;120;170;EM builds prefer to be used for aggravate but is still valid if spread happens
54;Fischl;Physchl – Physical Main DPS;Recommended Set;Pale Flame;;Second Choice;Pale Flame;Bloodstained Chivalry;;;;;;;;;;ATK%;;;Physical DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;120;170;Meme build. 4pc pale flame requires maximum Oz uptime. 2pc combination gets better at C1, when played with Oz not on field, ER can also be foregone then
55;Freminet;Physical Main DPS;;Pale Flame;;;Marechaussee Hunter;;;;;;;;;;;ATK%;Energy Recharge;;Physical DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;155;195;MH when you play with Furina
56;Freminet;Cryo Main DPS;;Blizzard Strayer;;With Furina;Marechaussee Hunter;;;;;;;;;;;ATK%;Energy Recharge;;Cryo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;150;200;Playing with Furina and using MH is the best option for Cryo Freminet. If for some reason you cant/wont pair him with her, use Blizzard Strayer.
57;Furina;Hydro Sub DPS;;Golden Troupe;;;;;;;;;;;;;;HP%;Energy Recharge;;HP%;Hydro DMG Bonus;CRIT Rate/DMG;;;CRIT Rate/DMG;HP%;Energy Recharge;Elemental Mastery;;Flat HP;;150;210;at C6 this build can also be used for an on-field playstyle
58;Furina;Support;;Tenacity of the Millelith;;;;;;;;;;;;;;Energy Recharge;HP%;;HP%;Hydro DMG Bonus;CRIT Rate/DMG;;;Energy Recharge;HP%;CRIT Rate/DMG;;;Flat HP;;150;210;
59;Furina;Healer;;Ocean-Hued Clam;;;;;;;;;;;;;;HP%;Energy Recharge;;HP%;;Healing Bonus;HP%;;HP%;Energy Recharge;Flat HP;;;;;150;210;
60;Gaming;Pyro Main DPS;Recommended Set;Marechaussee Hunter;;For Vape/Melt;Crimson Witch of Flames;;;;;;;;;;;ATK%;EM (Vape/Melt);;Pyro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;EM (Vape/Melt);ATK%;;Flat ATK;;145;190;Crimson Witch is on par with Marechausee
61;Ganyu;Freeze & Mono Cryo DPS;;Blizzard Strayer;;;;;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT DMG;ATK%;;Energy Recharge;CRIT DMG;ATK%;CRIT Rate;;Flat ATK;;140;170;crit rate not higher on freeze than 45%, or 65% for mono cryo
62;Ganyu;Melt Main DPS;Recommended Set;Wanderer's Troupe;;Second Choice;Shimenawa's Reminiscence;;;;;;;;;;;Elemental Mastery;ATK%;;Cryo DMG Bonus;;CRIT Rate/DMG;;;Elemental Mastery;CRIT Rate/DMG;ATK%;;;Flat ATK;;100;100;
63;Geo Traveler;Geo Sub DPS;;Emblem of Severed Fate;;;Nighttime Whispers in the Echoing Woods;;;Noblesse Oblige;Gladiator's Finale;;;;;;;ATK%;;;Geo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;120;140;
64;Gorou;Buffer Support;;Noblesse Oblige;;;The Exile;;;Husk of Opulent Dreams;Emblem of Severed Fate;;;;;;;Energy Recharge;;;DEF%;;CRIT Rate (Favonius);DEF%;;Energy Recharge;CRIT Rate (Favonius);DEF%;Flat DEF;;;;220;250;Gorou is a buffer and should not be optimized for his personal damage. Finding the right set is tricky cause noblesse is not as helpfulf to def sclaing chars, but the exile is only a 4star. Husk is the least recommended option, but you often have husk from farming for his other team members anyway AND it boosts the healing from C4.
65;Hu Tao;Pyro Main DPS;Recommended Set;Crimson Witch of Flames;;Alternative Set;Shimenawa's Reminiscence;;Alternative Set;Gilded Dreams;;With Furina;Marechaussee Hunter;;;;;Elemental Mastery;HP%;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;HP%;ATK%;;Flat HP;Flat ATK;100;110;Shimenawa boosts attacks and charged attacks but means less burst. EM has soft caps that should be reached (see kqm)
66;Hydro Traveler;Bloom DPS;;Flower of Paradise Lost;;;Gilded Dreams;;;Flower of Paradise Lost;Gilded Dreams;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;Energy Recharge;HP%;Flat HP;;;;180;220;recommended to have nilou in the party, but hyperbloom also possible. 2pc combination only slightly worse than 4pc.
67;Hydro Traveler;Burst Support;;Noblesse Oblige;;;;;;;;;;;;;;Energy Recharge;;;Hydro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;;Flat ATK;;160;240;Any character can be a support if you just equip them with Noblesse Oblige and let them burst. Even the Hydro Traveler.
68;Hydro Traveler;Hydro Sub DPS;;Marechaussee Hunter;;;Heart of Depth;Golden Troupe;;;;;;;;;;ATK%;HP%;;Hydro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;HP%;ATK%;Elemental Mastery;Flat HP;Flat ATK;160;200;Personal damage is not the hydro travelers stregth
69;Jean;Healer/Support;Recommended Set;Viridescent Venerer;;Second Choice;Noblesse Oblige;;Third Choice;Ocean-Hued Clam;;;;;;;;Energy Recharge;ATK%;;ATK%;Anemo DMG Bonus;Healing Bonus;CRIT Rate (Favonius);;Energy Recharge;ATK%;CRIT Rate (Favonius);Elemental Mastery;;Flat ATK;;140;200;VV is best due to resistance shred. If someone else is already using VV, pair it with gladiator to maximize Jean's damage output
70;Jean;Sunfire DPS;;Viridescent Venerer;;;;;;;;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;CRIT Rate (Favonius);;;;;160;200;Sunfire abuses the Pyro self-application from Bennett’s Burst, which is Swirled by the Anemo self-application from Jean’s Burst.
71;Kachina;Support;;Scroll of the Hero of Cinder City;;;;;;;;;;;;;;DEF%;;;Geo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;DEF%;Energy Recharge;;;Flat DEF;;100;120;
72;Kaedehara Kazuha;Support;;Viridescent Venerer;;;;;;;;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;CRIT Rate (Favonius);;;;;190;215;
73;Kaeya;Freeze Sub DPS;Recommended Set;Blizzard Strayer;;;;;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT DMG;CRIT Rate;;Energy Recharge;ATK%;CRIT DMG;CRIT Rate;;Flat ATK;;115;130;
74;Kaeya;Melt Sub DPS;For Burnmelt;Unfinished Reverie;;For Melt;Emblem of Severed Fate;;Melt Alternative;Lavawalker;;;;;;;;ATK%;Elemental Mastery;Energy Recharge;Cryo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;Elemental Mastery;;Flat ATK;;140;220;Burnmelt yields most damage and is therefore preferable playstyle
75;Kamisato Ayaka;Cryo Main DPS;;Blizzard Strayer;;;;;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;100;160;
76;Kamisato Ayato;Hydro Main DPS;Recommended Set;Heart of Depth;;Alternative Set;Nymph's Dream;;Alternative Set;Gladiator's Finale;;With Low Ping;Echoes of an Offering;;With Furina;Marechaussee Hunter;;ATK%;Energy Recharge;;Hydro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;HP%;;Flat ATK;Flat HP;120;160;
77;Kaveh;Bloom Driver;;Deepwood Memories;;;;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;;Elemental Mastery;CRIT Rate (Favonius);;Energy Recharge;CRIT Rate (Favonius);Elemental Mastery;;;;;180;200;Generalist set for Kaveh, usually used in Nilou Bloom teams. He is also a viable driver for burgeon oder hyperbloom even if he does not buff those reactions.
78;Kaveh;Maximum Clamage;;Ocean-Hued Clam;;;;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;;Healing Bonus;;;Energy Recharge;CRIT Rate (Favonius);Elemental Mastery;;;;;180;200;Putting Ocean-Hued Clam on someone who isn't a healer may seem counterintuitive at first, but Kaveh's Passive allows him to heal when getting hit by an exploding Dendro Core. This effect gets even stronger once you have his first Constellation. By staying on field for most of the time, Kaveh can utilize the Clam's damaging effect and from C1 onwards deals higher DPS than with Deepwood Memories this way. You should still make sure, however, that at least one of your party members is wearing Deepwood Memories for its resistance shred.
79;Kaveh;Spread/Hyperbloom/Burgeon;;Gilded Dreams;;;;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;Dendro DMG Bonus;Elemental Mastery;;;Energy Recharge;Elemental Mastery;CRIT Rate/DMG;ATK%;;Flat ATK;;180;200;This build focusses let's you play Kaveh in a Spread team but can also be used for Hyperbloom or Burgeon. Make sure someone else in your party has deepwood.
80;Keqing;Aggravate Main DPS;Recommended Set;Thundering Fury;;Alternative Set;Thundersoother;;With Furina;Marechaussee Hunter;;;;;;;;ATK%;Elemental Mastery;;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Elemental Mastery;;;Flat ATK;;100;100;Thundersoother as good as thundering fury
81;Keqing;Electro Main DPS;Generalist Set;Thundering Fury;Gladiator's Finale;With High Uptime;Thundersoother;;With Furina;Marechaussee Hunter;;;;;;;;ATK%;;;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Flat ATK;;;;;100;100;
