ID;character_name;build_name;artifact_set_1_label;artifact_set_1;artifact_set_2;artifact_set_3_label;artifact_set_3;artifact_set_4;artifact_set_5_label;artifact_set_5;artifact_set_6;artifact_set_7_label;artifact_set_7;artifact_set_8;artifact_set_9_label;artifact_set_9;artifact_set_10;sands_1;sands_2;sands_3;goblet_1;goblet_2;circlet_1;circlet_2;circlet_3;substats_1;substats_2;substats_3;substats_4;substats_5;flatstats_1;flatstats_2;er_min;er_max;note
11;Barbara;Healer;;Ocean-Hued Clam;;;Maiden Beloved;;;;;;;;;;;HP%;;;HP%;;Healing Bonus;HP%;CRIT Rate (Favonius);HP%;Flat HP;Energy Recharge;CRIT Rate (Favonius);;;;n/a;n/a;do not farm Maiden Beloved only for Barbara
12;Barbara;Bloom DPS;;Gilded Dreams;;;;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;HP%;Flat HP;;;;;n/a;n/a;Niche Build
13;Beidou;Off-Field Burst DPS;;Emblem of Severed Fate;;;Thundersoother;;;;;;;;;;;ATK%;Energy Recharge;;Electro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;Elemental Mastery (Quicken);;Flat ATK;;150;220;
14;Beidou;Main DPS;;Thundering Fury;Gladiator's Finale;;;;;;;;;;;;;ATK%;;;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;;;
15;Bennett;Healer/Buffer;;Noblesse Oblige;;;;;;;;;;;;;;Energy Recharge;HP%;;HP%;;HP%;Healing Bonus;;Energy Recharge;HP%;Flat HP;;;;;200;350;
16;Bennett;Pyro Burst DPS;;Noblesse Oblige;;;;;;;;;;;;;;Energy Recharge;ATK%;;Pyro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;Elemental Mastery;ATK%;HP%;Flat ATK;Flat HP;200;350;
17;Candace;Buffer Support;;Noblesse Oblige;;;Scroll of the Hero of Cinder City;;;;;;;;;;;Energy Recharge;HP%;;HP%;;HP%;CRIT Rate (Favonius);;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;Elemental Mastery;ATK%;Flat ATK;;180;250;NO is a generalist support for atk scaling, scroll buffs elemental damage based on reactions
18;Candace;Hydro Sub DPS;;Emblem of Severed Fate;;;;;;;;;;;;;;Energy Recharge;HP%;;Hydro DMG Bonus;HP%;HP%;CRIT Rate/DMG;;Energy Recharge;CRIT Rate/DMG;HP%;Elemental Mastery;;Flat HP;;200;300;
19;Candace;Main DPS;;Nymph's Dream;;;Gladiator's Finale;;;Heart of Depth;;;;;;;;ATK%;Energy Recharge;;Hydro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;HP%;Elemental Mastery;Flat ATK;Flat HP;170;190;
20;Charlotte;Healer;;Emblem of Severed Fate;Gladiator's Finale;;Ocean-Hued Clam;;;;;;;;;;;Energy Recharge;ATK%;;ATK%;;Healing Bonus;CRIT Rate (Favonius);;Energy Recharge;CRIT Rate (Favonius);ATK%;Flat ATK;;;;180;230;
21;Charlotte;Healer/Buffer;;Noblesse Oblige;;;Tenacity of the Millelith;;;Song of Days Past;;;;;;;;Energy Recharge;ATK%;;ATK%;;Healing Bonus;CRIT Rate (Favonius);;Energy Recharge;CRIT Rate (Favonius);ATK%;Flat ATK;;;;180;230;
22;Charlotte;Cryo Sub DPS;;Golden Troupe;;;Blizzard Strayer;;;;;;;;;;;ATK%;Energy Recharge;;ATK%;Cryo DMG Bonus;CRIT DMG;;;CRIT DMG;ATK%;Energy Recharge;CRIT Rate;;Flat ATK;;150;200;
23;Chasca;Main DPS (Preliminary);;Obsidian Codex;;;Viridescent Venerer;;;;;;;;;;;ATK%;Elemental Mastery;;ATK%;Elemental Mastery;CRIT Rate/DMG;Elemental Mastery;;CRIT Rate/DMG;ATK%;Elemental Mastery;;;Flat ATK;;;;
24;Chevreuse;Overload Support;;Noblesse Oblige;;;Song of Days Past;;;;;;;;;;;HP%;Energy Recharge;;HP%;;HP%;Healing Bonus;;HP%;Flat HP;Energy Recharge;CRIT Rate (Favonius);;;;170;200;Song of Days past is a valid alternative when someone else on the team is already using noblesse and is best used by a C6 Chevreuse. Burst is irrelevant to her buff, so the player can choose to not include it in their rotation.
25;Chevreuse;Overload Sub DPS;;Emblem of Severed Fate;;;Golden Troupe;;;;;;;;;;;ATK%;Energy Recharge;;Pyro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;CRIT Rate (Favonius);CRIT DMG;Energy Recharge;ATK%;HP%;Flat ATK;Flat HP;170;200;Emblem is the best option for Chev's personal damage, however, Golden Troupe can also work for a C4+ when she uses all 3 skill charges
26;Chiori;Off-Field DPS;;Golden Troupe;;;Husk of Opulent Dreams;;;;;;;;;;;DEF%;;;Geo DMG Bonus;DEF%;CRIT Rate/DMG;DEF%;;CRIT Rate/DMG;DEF%;ATK%;;;Flat DEF;Flat ATK;n/a;n/a;do not run triple DEF%, husk preferable at C6
27;Chongyun;Cryo Burst Support;;Noblesse Oblige;;;Emblem of Severed Fate;;;Unfinished Reverie;;;;;;;;ATK%;Elemental Mastery (Melt);;Cryo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;ATK%;Elemental Mastery (Melt);;;;130;175;Noblesse to buff with burst, emblem to maximize damage output. Reverie when playing burnmelt
28;Chongyun;Main DPS;;Blizzard Strayer;;;Blizzard Strayer;Gladiator's Finale;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Elemental Mastery;;;Flat ATK;;130;175;
29;Clorinde;Main DPS;Recommended Set;Fragment of Harmonic Whimsy;;In Dendro Teams;Thundering Fury;;;;;;;;;;;ATK%;Elemental Mastery;;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Elemental Mastery;;;Flat ATK;;n/a;n/a;TF deals lower damage than whimsy but the shortening of the skill cooldown may help Clorinde to sync better with her team mates in a quicken/hyperbloom team. EM is good in dendro teams
30;Collei;All-purpose Dendro Sub DPS;;Deepwood Memories;;;;;;;;;;;;;;Energy Recharge;ATK%;Elemental Mastery;Dendro DMG Bonus;Elemental Mastery;CRIT Rate (Favonius);CRIT DMG;Elemental Mastery;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;Elemental Mastery;ATK%;Flat ATK;;160;200;
31;Collei;Bloom/Burn Sub DPS;;Gilded Dreams;;;;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;;;;;;160;200;This build assumes that Collei is your only dendro dps. For other dendro reactions, use deepwood.
32;Collei;Burst Support;;Noblesse Oblige;;;;;;;;;;;;;;Energy Recharge;;;Dendro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;Elemental Mastery;ATK%;Flat ATK;;170;200;
33;Cyno;Main DPS;;Thundering Fury;;;;;;;;;;;;;;Elemental Mastery;ATK%;Energy Recharge;Electro DMG Bonus;Elemental Mastery;CRIT Rate/DMG;Elemental Mastery;;CRIT Rate/DMG;Energy Recharge;Elemental Mastery;ATK%;;Flat ATK;;120;160;
34;Dehya;Burgeon Trigger;;Gilded Dreams;;;Flower of Paradise Lost;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;HP%;Flat HP;;;;;n/a;n/a;Flower is technically the better set but by such a small margin that it does not justify farming it
35;Dehya;Tank;;Tenacity of the Millelith;;;Ocean-Hued Clam;;;;;;;;;;;HP%;;;HP%;;HP%;;;HP%;Flat HP;;;;;;;;
36;Dehya;Main DPS;;Emblem of Severed Fate;;;Vourukasha's Glow;;;;;;;;;;;ATK%;Energy Recharge;HP% (C1);Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;ATK%;HP%;;Flat ATK;Flat HP;180;230;HP become a relevant stat from C1 onwards, Vourokasha becomes equal or better at C4 or higher
37;Dendro Traveler;Off-Field Dendro Enabler;;Deepwood Memories;;;Gilded Dreams;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Dendro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;Elemental Mastery;ATK%;;Flat ATK;;160;240;Deepwood is a valid allrounder set but if someone in your team already has it, switch traveler to Gilded Dreams
38;Diluc;Main DPS;;Crimson Witch of Flames;;Second Best;Gilded Dreams;;With Furina;Marechaussee Hunter;;;;;;;;ATK%;Elemental Mastery;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;ATK%;Energy Recharge;;Flat ATK;;100;120;Witch is better than gilded but with good substats gilded can also be good and is easier to farm. Assumes you play vape.
39;Diona;Healer/Shielder;;Noblesse Oblige;;;Tenacity of the Millelith;Ocean-Hued Clam;;;;;;;;;;HP%;Energy Recharge;;HP%;;HP%;Healing Bonus;CRIT Rate (Favonius);Energy Recharge;HP%;Flat HP;CRIT Rate (Favonius);;;;100;200;
40;Dori;Healer/Support;;Noblesse Oblige;;;;;;;;;;;;;;Energy Recharge;HP%;;HP%;;Healing Bonus;;;Energy Recharge;CRIT Rate (Favonius);HP%;Flat HP;;;;190;260;
41;Dori;Dendro Team Support;;Deepwood Memories;;;;;;;;;;;;;;Energy Recharge;HP%;;HP%;;Healing Bonus;;;Energy Recharge;CRIT Rate (Favonius);HP%;Flat HP;;;;190;260;Many Dendro DPSs rely on having one party member wear Deepwood while not wanting to equip it themselves. Dori can be that party member. Thanks to her high burst duration, she gets excellent uptime on the dendro res shred.
42;Dori;Hyperbloom Driver;;Gilded Dreams;;;Flower of Paradise Lost;;;;;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;Energy Recharge;CRIT Rate (Favonius);HP%;;Flat HP;;190;260;When playing Dori for Hyperbloom she will sometimes also trigger Aggravate/Electro-Charged damage on the side. Gilded dreams buffs all of these maximizing her damage output. FoPL is an alternative but will only focus on the hyperbloom damage.
43;Dori;C6 Aggravate DPS;;Thundering Fury;;;Gilded Dreams;;;;;;;;;;;Elemental Mastery;Energy Recharge;;Electro DMG Bonus;Elemental Mastery;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;Energy Recharge;ATK%;;Flat ATK;;130;150;
44;Electro Traveler;Battery;;Emblem of Severed Fate;;;Noblesse Oblige;;;;;;;;;;;Energy Recharge;;;Electro DMG Bonus;Elemental Mastery;CRIT Rate/DMG;Elemental Mastery;;Energy Recharge;CRIT Rate/DMG;Elemental Mastery;ATK%;;Flat ATK;;130;300;Battery = Energy Generator for others (in this case with skill), Emblem does this best while noblesse (worse) is for buffing with burst
45;Emilie;Burning Sub DPS;Recommended Set;Unfinished Reverie;;For Resistance Shred;Deepwood Memories;;;;;;;;;;;ATK%;;;Dendro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;n/a;n/a;Emilie can wear Deepwood if she is paired with another dendro and no one else can wear it
46;Eula;Main DPS;Recommended Set;Pale Flame;;Alternative Set;Pale Flame;Bloodstained Chivalry;With Furina;Marechaussee Hunter;;Furina's Second Choice;Vermillion Hereafter;;;;;ATK%;;;Physical DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;130;150;
47;Faruzan;Buffer Support;;Noblesse Oblige;;;;;;;;;;;;;;Energy Recharge;ATK%;;Anemo DMG Bonus;;CRIT Rate (Favonius);;;Energy Recharge;CRIT Rate (Favonius);;;;;;220;260;prioritize ER over main stats
48;Faruzan;Swirl Support;;Viridescent Venerer;;;;;;;;;;;;;;Energy Recharge;ATK%;;Anemo DMG Bonus;;CRIT Rate (Favonius);;;Energy Recharge;CRIT Rate (Favonius);Elemental Mastery;;;;;220;260;prioritize ER over main stats
49;Faruzan;C6 Support;;Tenacity of the Millelith;;;;;;;;;;;;;;Energy Recharge;ATK%;;Anemo DMG Bonus;;CRIT Rate;CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;;;;;175;200;
50;Fischl;Electro Sub DPS;;Golden Troupe;;;;;;;;;;;;;;ATK%;Elemental Mastery (Quicken);;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;ATK%;Elemental Mastery (Quicken);;Flat ATK;;120;170;
51;Freminet;Physical Main DPS;;Pale Flame;;;Marechaussee Hunter;;;;;;;;;;;ATK%;Energy Recharge;;Physical DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;155;195;MH when you play with Furina
52;Freminet;Cryo Main DPS;;Marechaussee Hunter;;;;;;;;;;;;;;ATK%;Energy Recharge;;Cryo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;150;200;Playing with Furina and using MH is the best option for Cryo Freminet. If for some reason you cant/wont pair him with her, use Blizzard Strayer.
53;Furina;Off-Field DPS;;Golden Troupe;;;;;;;;;;;;;;HP%;Energy Recharge;;HP%;Hydro DMG Bonus;CRIT Rate/DMG;;;CRIT Rate/DMG;HP%;Energy Recharge;Elemental Mastery;;Flat HP;;150;210;
54;Furina;Buffer Support;;Tenacity of the Millelith;;;;;;;;;;;;;;Energy Recharge;HP%;;HP%;Hydro DMG Bonus;CRIT Rate/DMG;;;Energy Recharge;HP%;CRIT Rate/DMG;;;Flat HP;;150;210;
55;Furina;Healer;;Ocean-Hued Clam;;;;;;;;;;;;;;HP%;Energy Recharge;;HP%;;Healing Bonus;HP%;;HP%;Energy Recharge;Flat HP;;;;;150;210;
56;Gaming;Main DPS;;Marechaussee Hunter;;;Crimson Witch of Flames;;;;;;;;;;;Elemental Mastery;ATK%;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;Energy Recharge;ATK%;;Flat ATK;;140;180;Crimson Witch is on par with Marechausee
57;Ganyu;Freeze & Mono Cryo DPS;;Blizzard Strayer;;;;;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT DMG;ATK%;;Energy Recharge;CRIT DMG;ATK%;CRIT Rate;;Flat ATK;;120;170;crit rate not higher on freeze than 45%, or 65% for mono cryo
58;Ganyu;Melt Main DPS;Recommended Set;Wanderer's Troupe;;Second Choice;Shimenawa's Reminiscence;;;;;;;;;;;Elemental Mastery;;;Cryo DMG Bonus;;CRIT Rate/DMG;;;Elemental Mastery;CRIT Rate/DMG;ATK%;;;Flat ATK;;n/a;n/a;
59;Gorou;Buffer Support;;Noblesse Oblige;;;The Exile;;;Husk of Opulent Dreams;Emblem of Severed Fate;;;;;;;Energy Recharge;;;DEF%;;CRIT Rate (Favonius);DEF%;;Energy Recharge;CRIT Rate (Favonius);DEF%;Flat DEF;;;;220;250;Gorou is a buffer and should not be optimized for his personal damage. Finding the right set is tricky cause noblesse is not as helpfulf to def sclaing chars, but the exile is only a 4star. Husk is the least recommended option, but you often have husk from farming for his other team members anyway AND it boosts the healing from C4.
60;Hu Tao;Main DPS;;Crimson Witch of Flames;;;Shimenawa's Reminiscence;;With Furina;Marechaussee Hunter;;;;;;;;HP%;Elemental Mastery;;Pyro DMG Bonus;;CRIT Rate/DMG;;;Elemental Mastery;CRIT Rate/DMG;HP%;;;Flat HP;;n/a;n/a;Shimenawa boosts attacks and charged attacks but means less burst
61;Hydro Traveler;Bloom DPS;;Flower of Paradise Lost;;;Gilded Dreams;;;Flower of Paradise Lost;Gilded Dreams;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;Energy Recharge;HP%;Flat HP;;;;180;220;recommended to have nilou in the party, but hyperbloom also possible. 2pc combination only slightly worse than 4pc.
62;Hydro Traveler;Burst Support;;Noblesse Oblige;;;;;;;;;;;;;;Energy Recharge;;;Hydro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;;Flat ATK;;160;240;Any character can be a support if you just equip them with Noblesse Oblige and let them burst. Even the Hydro Traveler.
63;Hydro Traveler;Hydro Sub DPS;;Marechaussee Hunter;;;Heart of Depth;Golden Troupe;;;;;;;;;;ATK%;HP%;;Hydro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;HP%;ATK%;Elemental Mastery;Flat HP;Flat ATK;160;200;Personal damage is not the hydro travelers stregth
64;Jean;Healer/Support;;Viridescent Venerer;;;Viridescent Venerer;Gladiator's Finale;;;;;;;;;;Energy Recharge;ATK%;;ATK%;Anemo DMG Bonus;Healing Bonus;CRIT Rate (Favonius);;Energy Recharge;ATK%;CRIT Rate (Favonius);Elemental Mastery;;Flat ATK;;140;200;VV is best due to resistance shred. If someone else is already using VV, pair it with gladiator to maximize Jean's damage output
65;Jean;Sunfire;;Viridescent Venerer;;;;;;;;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;CRIT Rate (Favonius);;;;;140;200;Sunfire abuses the Pyro self-application from Bennett’s Burst, which is Swirled by the Anemo self-application from Jean’s Burst.
66;Kachina;Geo Sub DPS;;Scroll of the Hero of Cinder City;;;;;;;;;;;;;;DEF%;Energy Recharge;;Geo DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;DEF%;;;Flat DEF;;100;120;
67;Kaedehara Kazuha;Anemo Support;;Viridescent Venerer;;;;;;;;;;;;;;Elemental Mastery;Energy Recharge;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;CRIT Rate (Favonius);Elemental Mastery;;;;;190;215;
68;Kamisato Ayaka;Main DPS;;Blizzard Strayer;;;;;;;;;;;;;;ATK%;;;Cryo DMG Bonus;;CRIT DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;100;160;
69;Kamisato Ayato;Main DPS;Recommended Set;Heart of Depth;;Alternative Set;Nymph's Dream;;Alternative Set;Gladiator's Finale;;With Low Ping;Echoes of an Offering;;With Furina;Marechaussee Hunter;;ATK%;Energy Recharge;;Hydro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;HP%;;Flat ATK;Flat HP;120;160;
70;Kaveh;Bloom Driver;;Deepwood Memories;;;;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;;Elemental Mastery;CRIT Rate (Favonius);;Energy Recharge;CRIT Rate (Favonius);Elemental Mastery;;;;;180;200;Generalist set for Kaveh, usually used in Nilou Bloom teams. He is also a viable driver for burgeon oder hyperbloom even if he does not buff those reactions.
71;Kaveh;Maximum Clamage;;Ocean-Hued Clam;;;;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;;Healing Bonus;;;Energy Recharge;CRIT Rate (Favonius);Elemental Mastery;;;;;180;200;Putting Ocean-Hued Clam on someone who isn't a healer may seem counterintuitive at first, but Kaveh's Passive allows him to heal when getting hit by an exploding Dendro Core. This effect gets even stronger once you have his first Constellation. By staying on field for most of the time, Kaveh can utilize the Clam's damaging effect and from C1 onwards deals higher DPS than with Deepwood Memories this way. You should still make sure, however, that at least one of your party members is wearing Deepwood Memories for its resistance shred.
72;Kaveh;Spread/Hyperbloom/Burgeon;;Gilded Dreams;;;;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;Dendro DMG Bonus;Elemental Mastery;;;Energy Recharge;Elemental Mastery;CRIT Rate/DMG;ATK%;;Flat ATK;;180;200;This build focusses let's you play Kaveh in a Spread team but can also be used for Hyperbloom or Burgeon. Make sure someone else in your party has deepwood.
73;Keqing;Aggravate Main DPS;Recommended Set;Thundering Fury;;Alternative Set;Thundersoother;;With Furina;Marechaussee Hunter;;;;;;;;ATK%;Elemental Mastery;;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Elemental Mastery;;;Flat ATK;;n/a;n/a;Thundersoother as good as thundering fury
74;Keqing;Non-Aggravate Main DPS;;Thundering Fury;Gladiator's Finale;;;;;;;;;;;;;ATK%;;;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Flat ATK;;;;;n/a;n/a;
75;Kinich;Burning/Burgeon DPS;;Obsidian Codex;;;Unfinished Reverie;;;;;;;;;;;ATK%;;;Dendro DMG Bonus;;CRIT DMG;CRIT Rate;;CRIT DMG;CRIT Rate;ATK%;Energy Recharge;Elemental Mastery;Flat ATK;;;;Reverie can only do burning reactions, whereas obsidian can also do burgeon
76;Kirara;Shielder;;Tenacity of the Millelith;Vourukasha's Glow;;Tenacity of the Millelith;;;;;;;;;;;HP%;;;HP%;;HP%;;;HP%;Flat HP;;;;;;100;160;
77;Kirara;Support;;Deepwood Memories;;;Noblesse Oblige;;;;;;;;;;;HP%;Energy Recharge;;HP%;;HP%;CRIT Rate (Favonius);;HP%;Energy Recharge;CRIT Rate (Favonius);Flat HP;;;;100;160;
78;Klee;Main DPS;;Crimson Witch of Flames;;;;;;;;;;;;;;ATK%;Elemental Mastery;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Elemental Mastery;;;Flat ATK;;n/a;n/a;
79;Kujou Sara;Sub DPS;;Emblem of Severed Fate;;;;;;;;;;;;;;Energy Recharge;ATK%;;Electro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;170;230;
80;Kujou Sara;Buffer Support;;Noblesse Oblige;;;;;;;;;;;;;;Energy Recharge;ATK%;;Electro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;;;Flat ATK;;170;230;
81;Kuki Shinobu;Hyperbloom Trigger;;Flower of Paradise Lost;;;Gilded Dreams;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;Energy Recharge;HP%;Flat HP;;;;n/a;n/a;Flower is better, but gilded dreams is easier to farm because you need Deepwood for the team anyway
82;Kuki Shinobu;Healer;;Tenacity of the Millelith;;;;;;;;;;;;;;HP%;Elemental Mastery;;HP%;Elemental Mastery;Healing Bonus;HP%;;HP%;Flat HP;Elemental Mastery;Energy Recharge;;;;n/a;n/a;
83;Layla;Shielder;;Tenacity of the Millelith;;;;;;;;;;;;;;HP%;Energy Recharge;;HP%;;HP%;CRIT Rate (Favonius);;HP%;Flat HP;Energy Recharge;CRIT Rate (Favonius);;;;150;220;
84;Layla;Off-Field DPS;;Blizzard Strayer;;;;;;;;;;;;;;HP%;Energy Recharge;;Cryo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;HP%;;;Flat HP;;150;220;
85;Lynette;Off-Field Burst DPS;;Viridescent Venerer;;;Emblem of Severed Fate;;;Noblesse Oblige;;;;;;;;Energy Recharge;ATK%;;Anemo DMG Bonus;ATK%;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;Elemental Mastery;;Flat ATK;;140;200;VV as generalist, but if not needed in team, Emblem for maximizing own damage. NO can be used to buff, especially when paired with Xiao
86;Lynette;Swirl  Sub DPS;;Viridescent Venerer;;;;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;CRIT Rate (Favonius);;;;;140;200;
87;Lynette;C6 On-Field DPS;;Marechaussee Hunter;;;Viridescent Venerer;;;;;;;;;;;ATK%;;;Anemo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;ATK%;Elemental Mastery;;Flat ATK;;140;170;Use MH to increase personal damage or VV if you are swirling the element of strong off-field dps's
88;Lyney;Main DPS;;Marechaussee Hunter;;;;;;;;;;;;;;ATK%;;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;Flat ATK;;;;120;135;
